Région,Type de sol,pH du sol,Pluviométrie (mm/an),Température (°C),Irrigation,Budget disponible (MAD/ha),Prix (MAD/kg),Rendement (kg/ha),Période de plantation,Durée de culture (mois),Sensibilité au climat,Bénéfice estimé (MAD/ha),Culture recommandée
Meknès,Limoneux,7.44,459.1,19.0,Oui,18407.23,6.62,22354.4,Septembre - Octobre,4.8,Forte,103590.29,Orge
Meknès,Limoneux,7.05,311.7,16.4,Non,20606.74,9.24,20357.03,Toute l’année,5.6,Moyenne,131669.27,Orge
Meknès,Argileux,7.39,475.8,19.3,Non,21690.52,11.19,14303.96,Mars - Avril,5.6,Moyenne,112042.92,Orge
Ouarzazate,Sableux,7.32,444.6,16.1,Oui,16837.84,7.52,20757.71,Mai - Juin,5.0,Moyenne,109268.59,Orge
Rabat,Sableux,6.5,431.3,20.0,Non,19194.87,5.13,14799.92,Mars - Avril,5.4,Moyenne,53146.51,Orge
Rabat,Argileux,7.39,434.8,17.7,Oui,17526.48,5.45,21589.44,Mai - Juin,3.3,Faible,82363.71,Orge
Fès,Sableux,7.01,368.4,17.6,Non,10640.68,8.38,19545.56,Mai - Juin,4.4,Faible,114654.25,Orge
Meknès,Argileux,6.74,497.9,18.6,Oui,17648.6,8.8,20672.96,Septembre - Octobre,4.9,Moyenne,127345.43,Orge
Ouarzazate,Limoneux,7.45,362.2,19.6,Oui,19709.46,7.34,16975.33,Septembre - Octobre,5.6,Faible,87219.25,Orge
Meknès,Argileux,6.89,334.2,16.5,Oui,12285.15,7.29,22122.6,Mars - Avril,5.8,Forte,112891.63,Orge
Agadir,Limoneux,7.21,488.2,19.6,Oui,10593.3,7.11,13996.0,Septembre - Octobre,3.9,Moyenne,69658.09,Orge
Rabat,Limoneux,7.14,448.1,16.9,Non,19442.81,8.49,18052.62,Toute l’année,3.8,Moyenne,107286.72,Orge
Fès,Sableux,6.58,327.1,16.4,Non,15174.64,9.57,19190.9,Mars - Avril,4.1,Moyenne,128559.84,Orge
Ouarzazate,Sableux,6.7,386.3,16.6,Oui,14979.59,5.45,18054.69,Toute l’année,3.0,Moyenne,68878.64,Orge
Agadir,Sableux,7.33,328.5,17.5,Non,20458.96,7.24,16861.32,Septembre - Octobre,4.1,Faible,85453.17,Orge
Meknès,Limoneux,7.45,325.1,17.1,Non,17713.17,4.46,19274.18,Mai - Juin,5.4,Moyenne,60173.99,Orge
Fès,Argileux,7.08,450.2,18.0,Oui,18837.93,10.9,17738.03,Toute l’année,4.6,Moyenne,135341.17,Orge
Fès,Argileux,6.62,350.8,17.2,Non,12146.36,5.68,21567.29,Mars - Avril,5.1,Forte,85751.55,Orge
Rabat,Limoneux,6.72,490.7,20.0,Oui,22967.94,7.52,15703.28,Toute l’année,3.2,Faible,82662.07,Orge
Ouarzazate,Limoneux,7.04,484.4,17.8,Non,15226.77,6.59,22010.24,Mars - Avril,4.2,Faible,101533.24,Orge
Fès,Argileux,7.28,434.0,19.3,Non,16673.73,5.81,19199.92,Septembre - Octobre,5.1,Moyenne,78086.07,Orge
Fès,Sableux,6.7,377.2,19.2,Oui,18104.25,7.28,17915.25,Toute l’année,5.4,Forte,91296.11,Orge
Rabat,Argileux,6.87,423.5,17.6,Non,24138.77,8.62,18313.52,Septembre - Octobre,5.7,Faible,110503.78,Orge
Ouarzazate,Limoneux,7.3,344.6,17.5,Oui,11767.05,10.74,14688.54,Mars - Avril,4.9,Moyenne,110428.44,Orge
Ouarzazate,Limoneux,6.81,473.5,19.4,Oui,7500.33,7.99,17499.29,Septembre - Octobre,5.3,Moyenne,97873.53,Orge
Rabat,Sableux,6.86,376.9,19.9,Non,16429.7,9.3,15971.96,Septembre - Octobre,3.8,Moyenne,103977.46,Orge
Meknès,Limoneux,7.37,386.3,19.0,Oui,10413.73,6.68,19071.61,Toute l’année,5.7,Faible,89178.85,Orge
Ouarzazate,Sableux,7.27,342.7,17.5,Non,16672.54,5.49,19122.95,Toute l’année,5.1,Moyenne,73489.5,Orge
Ouarzazate,Argileux,6.71,330.4,19.2,Oui,18946.03,8.13,25543.96,Toute l’année,4.6,Faible,145370.68,Orge
Fès,Limoneux,6.55,434.2,16.3,Non,25559.54,6.21,19710.24,Toute l’année,4.9,Faible,85680.41,Orge
Ouarzazate,Limoneux,7.41,361.0,16.9,Non,9521.1,7.4,13854.21,Mai - Juin,3.7,Faible,71764.81,Orge
Fès,Argileux,7.18,346.4,17.7,Non,16444.11,10.21,17322.11,Septembre - Octobre,3.8,Moyenne,123801.12,Orge
Ouarzazate,Limoneux,7.5,415.9,18.9,Oui,14717.55,12.23,18604.62,Septembre - Octobre,3.2,Moyenne,159274.15,Orge
Meknès,Limoneux,6.65,461.9,16.6,Non,17050.47,11.39,18558.55,Mars - Avril,3.5,Faible,147967.32,Orge
Ouarzazate,Argileux,7.36,474.4,19.6,Oui,14824.45,7.94,14905.89,Toute l’année,3.5,Forte,82846.94,Orge
Ouarzazate,Argileux,7.27,490.1,18.6,Oui,20937.93,9.19,15633.0,Toute l’année,3.1,Forte,100567.09,Orge
Meknès,Sableux,6.78,417.3,18.4,Oui,18307.57,9.42,22599.35,Septembre - Octobre,3.9,Moyenne,149020.11,Orge
Rabat,Sableux,7.36,475.4,16.6,Oui,18960.13,10.8,17953.87,Toute l’année,4.3,Faible,135731.26,Orge
Agadir,Limoneux,6.65,412.5,16.4,Non,12395.93,8.43,19027.52,Toute l’année,5.8,Moyenne,112281.4,Orge
Meknès,Argileux,7.18,374.8,19.7,Oui,21157.54,5.76,24061.4,Mars - Avril,5.8,Forte,97015.56,Orge
Fès,Limoneux,7.1,486.4,19.5,Oui,22740.27,4.86,18215.34,Mai - Juin,5.8,Forte,61968.59,Orge
Rabat,Sableux,6.83,380.8,17.2,Oui,19973.58,9.2,16749.08,Toute l’année,4.2,Faible,107864.08,Orge
Rabat,Sableux,5.74,539.4,22.8,Oui,17480.23,11.94,15405.6,Septembre - Octobre,5.5,Forte,128760.0,Maïs
Agadir,Argileux,6.03,643.4,20.2,Oui,15745.35,12.05,11755.2,Mars - Avril,4.5,Moyenne,99155.11,Maïs
Meknès,Limoneux,5.96,655.1,25.7,Oui,19197.9,10.15,14614.29,Mai - Juin,4.3,Forte,103834.53,Maïs
Meknès,Argileux,5.84,501.5,22.8,Non,20525.94,8.96,18294.53,Septembre - Octobre,4.5,Forte,114743.29,Maïs
Meknès,Limoneux,6.31,667.9,21.8,Oui,19039.49,6.76,15979.82,Septembre - Octobre,5.8,Faible,75616.51,Maïs
Meknès,Argileux,6.42,585.0,20.0,Oui,15145.6,5.67,14680.01,Septembre - Octobre,4.1,Moyenne,58264.96,Maïs
Fès,Sableux,5.95,520.3,20.9,Non,21834.53,9.28,21546.93,Toute l’année,3.8,Forte,139968.86,Maïs
Meknès,Limoneux,5.67,683.3,23.5,Oui,15826.78,8.71,17799.88,Septembre - Octobre,4.2,Forte,108525.87,Maïs
Fès,Limoneux,5.98,636.2,22.3,Non,13870.15,6.36,15690.19,Toute l’année,5.3,Faible,69852.73,Maïs
Fès,Sableux,6.47,654.6,20.7,Oui,15258.34,7.74,18030.63,Septembre - Octobre,5.2,Moyenne,97689.95,Maïs
Ouarzazate,Limoneux,5.79,585.2,22.9,Non,18678.07,8.1,17617.07,Septembre - Octobre,3.7,Moyenne,99888.79,Maïs
Ouarzazate,Limoneux,6.08,640.5,25.9,Oui,21809.13,6.88,18688.14,Mars - Avril,4.3,Forte,90002.08,Maïs
Fès,Argileux,6.22,641.9,24.1,Non,15827.53,11.46,16942.05,Mars - Avril,5.8,Faible,135909.13,Maïs
Meknès,Limoneux,5.67,587.5,24.6,Oui,18976.59,4.94,13596.08,Toute l’année,3.3,Forte,47015.24,Maïs
Meknès,Argileux,5.98,613.9,21.0,Oui,19572.09,5.08,15626.03,Mai - Juin,3.8,Forte,55566.16,Maïs
Ouarzazate,Argileux,6.01,553.5,20.6,Oui,19560.77,7.49,14388.24,Septembre - Octobre,4.4,Moyenne,75437.54,Maïs
Ouarzazate,Sableux,5.54,699.2,26.0,Non,14129.8,6.81,17951.39,Septembre - Octobre,5.4,Faible,85574.28,Maïs
Meknès,Limoneux,6.23,540.4,24.9,Oui,19669.69,6.42,15666.97,Mai - Juin,5.2,Faible,70407.36,Maïs
Agadir,Argileux,5.66,532.9,25.6,Oui,24910.84,8.25,17417.26,Mai - Juin,5.6,Faible,100584.68,Maïs
Rabat,Sableux,5.65,680.9,23.0,Oui,19452.55,8.48,21165.53,Septembre - Octobre,3.6,Faible,125638.59,Maïs
Agadir,Argileux,6.32,544.7,20.2,Non,14958.68,7.4,18998.63,Mai - Juin,3.2,Forte,98412.9,Maïs
Agadir,Sableux,5.72,610.3,22.0,Oui,15388.63,5.01,18876.89,Mars - Avril,4.9,Faible,66201.25,Maïs
Fès,Argileux,6.09,558.9,25.8,Non,15643.88,7.13,24251.33,Mars - Avril,4.6,Moyenne,121038.39,Maïs
Fès,Limoneux,5.68,687.0,22.7,Non,20459.31,8.04,17595.8,Toute l’année,4.2,Forte,99029.16,Maïs
Fès,Limoneux,5.82,553.6,21.0,Oui,15686.58,5.5,15027.35,Mai - Juin,5.9,Faible,57855.3,Maïs
Rabat,Limoneux,6.33,618.1,26.0,Non,23745.86,13.1,15118.02,Toute l’année,5.6,Moyenne,138632.24,Maïs
Meknès,Sableux,6.47,570.4,25.6,Oui,23903.89,10.78,17877.3,Mai - Juin,4.4,Moyenne,134902.11,Maïs
Fès,Sableux,6.15,599.0,24.9,Non,18488.54,4.34,18095.12,Toute l’année,3.8,Forte,54972.97,Maïs
Fès,Argileux,6.02,691.8,23.6,Non,16207.81,9.25,17915.41,Mars - Avril,5.2,Faible,116002.28,Maïs
Fès,Sableux,5.95,688.4,23.3,Oui,11878.25,8.44,15832.82,Toute l’année,3.6,Forte,93540.3,Maïs
Meknès,Argileux,6.11,591.6,24.8,Non,15731.65,10.17,17865.83,Mars - Avril,5.4,Moyenne,127186.84,Maïs
Fès,Sableux,5.61,596.8,25.3,Non,17520.04,9.14,14149.99,Septembre - Octobre,3.8,Faible,90531.64,Maïs
Agadir,Limoneux,6.4,553.9,23.5,Oui,25389.11,8.87,19921.95,Septembre - Octobre,4.0,Moyenne,123695.39,Maïs
Meknès,Sableux,6.02,506.4,24.2,Oui,13447.83,9.25,13936.17,Toute l’année,4.7,Forte,90236.7,Maïs
Fès,Limoneux,6.36,683.7,22.5,Non,20522.47,7.6,22183.08,Mars - Avril,5.3,Forte,118013.99,Maïs
Fès,Argileux,6.31,616.8,23.5,Non,13681.9,9.33,14973.43,Mai - Juin,5.7,Faible,97791.47,Maïs
Agadir,Sableux,5.94,608.2,21.9,Oui,25493.44,7.93,16444.21,Toute l’année,4.4,Moyenne,91281.81,Maïs
Ouarzazate,Argileux,6.09,602.1,20.6,Non,16425.01,5.41,19275.32,Mai - Juin,4.5,Moyenne,72995.64,Maïs
Agadir,Sableux,5.94,678.0,21.7,Oui,21961.35,3.73,14850.81,Mai - Juin,4.3,Faible,38775.46,Maïs
Rabat,Sableux,5.64,632.9,25.8,Non,15624.6,7.27,19963.27,Toute l’année,3.2,Forte,101593.08,Maïs
Agadir,Limoneux,5.91,587.1,22.8,Oui,20529.13,8.24,18156.15,Mars - Avril,3.5,Faible,104724.67,Maïs
Meknès,Sableux,5.78,672.2,21.5,Non,19461.05,6.7,18982.1,Mars - Avril,3.3,Faible,89026.05,Maïs
Agadir,Limoneux,5.93,640.4,25.3,Non,19551.04,8.48,20013.46,Mars - Avril,3.3,Forte,118799.9,Maïs
Agadir,Limoneux,6.49,572.5,22.5,Oui,21525.2,8.93,19594.8,Mai - Juin,4.2,Forte,122487.09,Maïs
Fès,Sableux,5.58,525.9,22.7,Non,10997.67,9.58,15389.18,Mars - Avril,3.3,Faible,103199.84,Maïs
Ouarzazate,Sableux,5.52,627.4,24.2,Oui,25870.94,7.81,17896.38,Mai - Juin,3.0,Forte,97839.51,Maïs
Meknès,Limoneux,5.85,561.8,22.7,Oui,21047.55,5.57,20835.71,Mai - Juin,5.2,Forte,81238.43,Maïs
Agadir,Limoneux,6.01,639.4,25.7,Oui,16763.04,8.85,15026.21,Septembre - Octobre,4.7,Moyenne,93087.37,Maïs
Rabat,Sableux,6.34,508.8,23.8,Non,20252.06,3.62,12801.63,Toute l’année,5.2,Faible,32439.33,Maïs
Meknès,Sableux,5.72,682.7,25.2,Non,17344.67,4.81,17872.02,Mai - Juin,3.1,Moyenne,60175.09,Maïs
Agadir,Argileux,6.41,566.5,22.1,Oui,21181.09,8.53,19139.26,Mars - Avril,4.4,Forte,114280.52,Maïs
Ouarzazate,Argileux,5.86,686.3,25.9,Non,20633.81,6.88,15158.06,Septembre - Octobre,5.1,Faible,73001.22,Maïs
Meknès,Sableux,6.36,548.5,22.2,Non,21508.04,7.29,20419.03,Toute l’année,4.8,Faible,104198.31,Maïs
Ouarzazate,Limoneux,6.29,605.5,23.3,Oui,14542.97,7.62,19483.11,Septembre - Octobre,5.2,Faible,103922.91,Maïs
Meknès,Sableux,5.89,573.8,21.0,Non,15744.18,5.65,16400.56,Toute l’année,3.8,Forte,64864.21,Maïs
Rabat,Limoneux,5.9,503.3,20.6,Oui,23828.44,9.1,21553.75,Mai - Juin,4.2,Moyenne,137297.39,Maïs
Fès,Limoneux,6.13,619.9,24.1,Oui,23925.3,8.62,17608.64,Toute l’année,5.4,Forte,106250.53,Maïs
Ouarzazate,Argileux,6.18,543.8,21.6,Oui,20555.1,8.23,19299.88,Mai - Juin,3.3,Forte,111186.61,Maïs
Rabat,Sableux,5.86,653.3,23.0,Non,19277.74,6.07,12936.04,Toute l’année,4.1,Forte,54965.23,Maïs
Ouarzazate,Sableux,5.61,628.0,22.1,Oui,13160.78,8.5,17232.61,Septembre - Octobre,4.7,Moyenne,102534.03,Maïs
Rabat,Sableux,6.28,695.0,21.3,Oui,26616.79,8.22,18258.22,Mai - Juin,5.3,Forte,105057.8,Maïs
Agadir,Limoneux,5.96,673.4,22.7,Non,18278.05,7.0,17380.6,Toute l’année,5.8,Faible,85164.94,Maïs
Agadir,Sableux,6.41,549.8,23.6,Oui,16964.73,7.25,16582.69,Toute l’année,5.2,Faible,84157.15,Maïs
Fès,Argileux,6.12,683.9,23.9,Non,17499.25,9.09,20368.75,Mai - Juin,3.5,Moyenne,129606.36,Maïs
Ouarzazate,Argileux,6.26,559.8,23.3,Non,15054.89,6.12,17184.64,Mars - Avril,3.6,Faible,73619.0,Maïs
Fès,Limoneux,5.7,556.1,23.9,Oui,16639.55,9.26,18259.02,Septembre - Octobre,4.4,Faible,118354.97,Maïs
Rabat,Limoneux,5.53,597.5,25.8,Oui,17719.7,9.3,15738.99,Toute l’année,3.9,Faible,102460.82,Maïs
Agadir,Argileux,6.45,653.5,22.5,Non,16710.37,6.27,24501.73,Mars - Avril,3.7,Moyenne,107538.09,Maïs
Fès,Sableux,6.23,661.1,24.8,Oui,24394.33,7.33,17917.96,Mai - Juin,4.8,Forte,91937.05,Maïs
Agadir,Sableux,5.94,585.6,21.5,Non,22195.93,7.13,19570.29,Mai - Juin,3.7,Forte,97675.32,Maïs
Rabat,Limoneux,6.36,578.9,23.0,Non,15782.0,6.66,19265.59,Toute l’année,3.2,Forte,89816.18,Maïs
Fès,Sableux,6.35,574.8,22.2,Oui,16642.38,7.23,19937.69,Septembre - Octobre,5.1,Faible,100904.65,Maïs
Ouarzazate,Limoneux,5.87,652.3,24.5,Oui,15823.97,5.76,16254.72,Septembre - Octobre,4.9,Forte,65539.03,Maïs
Ouarzazate,Limoneux,5.68,545.5,21.8,Non,16941.56,9.34,15635.9,Mai - Juin,5.5,Moyenne,102227.51,Maïs
Rabat,Argileux,5.8,501.4,21.8,Non,19976.76,10.45,18212.22,Mai - Juin,4.6,Moyenne,133222.39,Maïs
Agadir,Argileux,5.59,674.6,25.2,Oui,15634.39,9.42,17068.07,Mars - Avril,5.2,Faible,112546.85,Maïs
Agadir,Argileux,5.84,512.8,22.0,Non,28064.74,8.36,17497.01,Mars - Avril,5.4,Faible,102392.5,Maïs
Fès,Sableux,6.33,516.7,23.3,Oui,16268.82,10.12,16578.36,Toute l’année,5.3,Moyenne,117441.1,Maïs
Meknès,Sableux,6.11,664.8,22.5,Oui,24238.36,8.91,12033.6,Septembre - Octobre,4.8,Forte,75053.56,Maïs
Meknès,Sableux,5.71,616.3,25.5,Non,14397.53,9.56,15254.58,Mai - Juin,3.4,Faible,102083.65,Maïs
Fès,Argileux,5.61,543.8,23.9,Oui,14637.61,6.52,22101.47,Mars - Avril,5.0,Faible,100871.11,Maïs
Meknès,Limoneux,5.52,640.7,24.7,Non,20828.91,8.08,17390.94,Septembre - Octobre,3.5,Forte,98363.16,Maïs
Fès,Argileux,5.76,545.5,21.2,Oui,14523.16,6.5,12742.3,Mars - Avril,5.1,Moyenne,57977.46,Maïs
Meknès,Argileux,6.18,645.9,22.0,Non,15375.89,7.06,18825.17,Mai - Juin,5.4,Faible,93033.99,Maïs
Rabat,Limoneux,5.88,580.0,24.2,Oui,13867.93,6.55,20743.03,Toute l’année,4.9,Faible,95106.79,Maïs
Rabat,Sableux,5.93,673.6,25.0,Non,18818.29,6.63,22213.47,Mars - Avril,4.2,Forte,103092.71,Maïs
Meknès,Sableux,6.19,549.9,21.3,Oui,16103.2,12.43,13540.9,Mai - Juin,4.4,Faible,117819.37,Maïs
Agadir,Argileux,5.71,571.1,22.6,Non,11288.14,5.25,18174.79,Toute l’année,4.8,Forte,66792.35,Maïs
Meknès,Sableux,5.7,646.2,20.5,Oui,13064.37,6.2,19344.47,Mars - Avril,3.4,Moyenne,83955.0,Maïs
Ouarzazate,Argileux,6.38,611.0,24.1,Non,11970.8,10.45,23823.98,Mai - Juin,4.8,Moyenne,174272.41,Maïs
Meknès,Argileux,5.81,675.6,24.8,Oui,12829.08,9.91,17885.72,Mars - Avril,4.8,Moyenne,124073.24,Maïs
Ouarzazate,Argileux,6.26,609.0,26.0,Oui,17625.1,9.51,14159.79,Septembre - Octobre,3.4,Forte,94261.72,Maïs
Meknès,Argileux,5.66,522.0,24.1,Non,17795.76,9.28,18774.06,Toute l’année,3.1,Moyenne,121956.29,Maïs
Fès,Limoneux,5.96,689.5,22.6,Non,14769.11,6.52,19213.03,Mars - Avril,4.6,Faible,87688.27,Maïs
Ouarzazate,Argileux,5.9,543.1,21.9,Non,17886.74,7.22,19370.18,Mai - Juin,4.0,Faible,97896.89,Maïs
Ouarzazate,Limoneux,5.54,618.7,23.9,Non,18953.27,6.09,18999.19,Mai - Juin,4.2,Forte,80993.55,Maïs
Meknès,Sableux,5.64,614.8,23.8,Non,26387.34,8.9,17684.62,Mai - Juin,5.5,Faible,110175.18,Maïs
Fès,Limoneux,5.95,535.6,24.7,Non,14094.32,8.93,18232.95,Toute l’année,4.1,Forte,113974.17,Maïs
Ouarzazate,Limoneux,5.57,615.4,25.4,Non,15737.8,5.59,9368.25,Septembre - Octobre,4.0,Forte,36657.96,Maïs
Meknès,Argileux,6.46,537.7,22.5,Non,19873.87,8.75,18010.71,Mars - Avril,5.1,Forte,110315.6,Maïs
Ouarzazate,Limoneux,6.04,690.9,24.5,Non,18948.48,7.31,16995.72,Septembre - Octobre,3.3,Moyenne,86967.1,Maïs
Agadir,Limoneux,5.62,527.9,24.1,Non,20074.74,9.04,19092.58,Mai - Juin,4.4,Faible,120817.85,Maïs
Ouarzazate,Limoneux,5.68,642.9,24.6,Non,26570.54,6.26,19096.64,Mai - Juin,4.5,Faible,83681.48,Maïs
Fès,Sableux,6.44,549.8,20.7,Non,25145.86,7.57,22020.92,Toute l’année,3.8,Faible,116688.86,Maïs
Ouarzazate,Sableux,5.67,599.6,23.0,Oui,15115.37,5.46,13961.17,Toute l’année,4.7,Faible,53359.59,Maïs
Meknès,Limoneux,5.7,676.4,22.9,Oui,23143.03,6.16,15412.14,Septembre - Octobre,3.2,Forte,66457.15,Maïs
Meknès,Limoneux,6.04,535.3,22.8,Oui,16195.16,12.59,23035.27,Mai - Juin,5.0,Forte,203009.83,Maïs
Meknès,Limoneux,6.46,616.8,25.2,Non,21909.41,7.0,23195.44,Mai - Juin,5.9,Faible,113657.66,Maïs
Fès,Sableux,6.16,631.8,20.1,Non,11919.19,6.74,18202.39,Mars - Avril,4.4,Moyenne,85878.88,Maïs
Fès,Sableux,6.17,609.7,22.5,Non,15515.57,8.39,18644.62,Septembre - Octobre,3.6,Forte,109499.85,Maïs
Meknès,Argileux,5.86,598.2,20.6,Non,15922.93,9.93,12804.4,Toute l’année,5.2,Forte,89003.38,Maïs
Rabat,Limoneux,6.05,572.8,22.9,Oui,17827.18,8.4,19303.34,Septembre - Octobre,5.8,Forte,113503.64,Maïs
Fès,Limoneux,5.65,548.3,23.9,Oui,15650.85,5.45,21319.12,Mars - Avril,4.2,Faible,81332.44,Maïs
Agadir,Sableux,5.63,528.3,22.8,Oui,20629.24,8.8,18764.15,Mars - Avril,5.5,Forte,115587.16,Maïs
Agadir,Argileux,6.46,652.2,23.7,Non,22379.75,11.54,21087.11,Mars - Avril,4.7,Moyenne,170341.67,Maïs
Ouarzazate,Limoneux,5.97,622.7,22.0,Non,14901.05,9.96,17962.01,Mars - Avril,3.4,Moyenne,125231.13,Maïs
Ouarzazate,Argileux,5.62,576.5,25.5,Non,21312.49,7.6,24769.0,Septembre - Octobre,4.8,Faible,131771.08,Maïs
Ouarzazate,Sableux,5.65,523.7,22.5,Oui,20615.71,7.73,19973.34,Mars - Avril,5.2,Moyenne,108075.74,Maïs
Fès,Sableux,6.28,589.0,20.9,Non,16612.87,12.29,15170.09,Mai - Juin,4.1,Faible,130508.28,Maïs
Rabat,Limoneux,6.0,523.2,22.5,Oui,16190.72,4.7,16196.58,Mars - Avril,5.2,Moyenne,53286.75,Maïs
Rabat,Limoneux,6.08,561.5,25.6,Non,30425.28,7.11,18899.59,Septembre - Octobre,5.5,Forte,94063.26,Maïs
Fès,Argileux,6.46,577.5,22.5,Oui,27321.32,8.31,18326.86,Mars - Avril,3.8,Forte,106607.34,Maïs
Meknès,Argileux,6.19,511.4,23.6,Non,16429.33,9.52,18207.73,Septembre - Octobre,3.2,Forte,121336.31,Maïs
Ouarzazate,Limoneux,6.16,658.6,24.9,Oui,23341.81,11.02,12572.95,Toute l’année,3.3,Moyenne,96987.74,Maïs
Agadir,Sableux,5.52,571.5,23.7,Non,14217.18,9.07,22688.49,Toute l’année,5.8,Moyenne,144049.22,Maïs
Agadir,Argileux,6.3,405.9,21.3,Non,14162.48,8.74,13584.22,Toute l’année,4.7,Moyenne,83108.26,Tomate
Meknès,Limoneux,5.51,401.8,22.1,Oui,21524.95,7.48,18540.75,Mars - Avril,4.6,Forte,97079.37,Tomate
Meknès,Sableux,6.06,328.7,27.1,Oui,20188.45,6.29,14983.73,Septembre - Octobre,4.4,Faible,65973.36,Tomate
Meknès,Sableux,5.78,474.6,18.9,Non,15940.71,5.52,16876.02,Mai - Juin,3.4,Faible,65208.94,Tomate
Rabat,Argileux,6.12,336.8,19.2,Non,21818.88,7.0,17254.69,Septembre - Octobre,3.7,Moyenne,84547.98,Tomate
Rabat,Argileux,5.51,342.3,22.6,Oui,12701.73,9.64,14524.83,Septembre - Octobre,3.8,Moyenne,98013.55,Tomate
Rabat,Limoneux,6.08,425.4,24.8,Oui,26050.78,4.43,13872.36,Mars - Avril,3.4,Moyenne,43018.19,Tomate
Meknès,Sableux,5.98,379.7,23.7,Oui,14658.95,6.19,17565.63,Septembre - Octobre,3.3,Faible,76111.87,Tomate
Rabat,Argileux,6.1,335.8,25.7,Oui,18485.93,4.09,22309.1,Mars - Avril,5.0,Faible,63870.95,Tomate
Rabat,Sableux,6.0,357.4,19.9,Non,10957.68,10.75,16858.03,Mars - Avril,5.3,Moyenne,126856.68,Tomate
Agadir,Sableux,5.61,456.9,19.8,Non,14860.68,9.84,23852.71,Septembre - Octobre,4.9,Moyenne,164297.47,Tomate
Agadir,Limoneux,6.46,448.2,25.9,Oui,15593.16,6.54,20455.94,Septembre - Octobre,4.7,Faible,93647.29,Tomate
Rabat,Sableux,5.76,448.2,19.9,Non,21835.41,8.54,16470.17,Mai - Juin,3.6,Moyenne,98458.68,Tomate
Ouarzazate,Argileux,6.22,341.3,18.4,Oui,19893.73,8.13,20992.67,Septembre - Octobre,3.7,Forte,119469.28,Tomate
Ouarzazate,Limoneux,5.98,332.5,18.6,Oui,12253.89,7.47,13419.72,Septembre - Octobre,4.5,Moyenne,70171.72,Tomate
Meknès,Argileux,5.96,446.8,20.4,Non,18571.21,3.92,19976.72,Mai - Juin,3.8,Moyenne,54816.12,Tomate
Agadir,Limoneux,5.87,457.4,21.8,Oui,6847.72,7.54,18715.6,Mai - Juin,3.2,Moyenne,98780.94,Tomate
Meknès,Limoneux,6.39,355.5,21.8,Oui,19332.6,7.06,15254.52,Mai - Juin,4.6,Faible,75387.84,Tomate
Agadir,Limoneux,6.32,439.1,27.4,Non,14573.78,9.66,18824.62,Septembre - Octobre,3.4,Faible,127292.08,Tomate
Ouarzazate,Limoneux,5.66,437.3,24.5,Oui,18380.45,10.62,21290.44,Mars - Avril,4.2,Faible,158273.13,Tomate
Rabat,Sableux,6.43,325.2,23.5,Non,12259.67,10.77,14865.93,Septembre - Octobre,3.4,Moyenne,112074.25,Tomate
Agadir,Limoneux,6.01,486.6,19.6,Non,20799.34,9.96,17183.83,Toute l’année,6.0,Forte,119805.66,Tomate
Ouarzazate,Limoneux,6.16,319.4,26.5,Oui,19000.54,7.43,20900.0,Mars - Avril,4.2,Moyenne,108700.9,Tomate
Meknès,Limoneux,5.74,340.5,24.8,Non,19544.38,6.56,20914.5,Mai - Juin,4.2,Forte,96039.38,Tomate
Rabat,Limoneux,5.83,355.2,22.4,Oui,16999.17,6.97,14757.51,Toute l’année,3.4,Moyenne,72001.89,Tomate
Rabat,Limoneux,5.9,398.5,19.0,Oui,14121.59,8.21,19156.29,Mai - Juin,6.0,Forte,110091.2,Tomate
Meknès,Limoneux,5.78,463.0,21.0,Non,11265.49,8.15,15737.74,Toute l’année,3.1,Faible,89783.81,Tomate
Agadir,Sableux,6.09,426.6,21.7,Oui,18152.16,9.63,21415.77,Mai - Juin,3.4,Faible,144363.71,Tomate
Meknès,Sableux,6.1,444.5,24.7,Oui,20085.85,5.95,17845.77,Mars - Avril,4.3,Forte,74327.63,Tomate
Meknès,Limoneux,5.94,385.6,26.0,Non,20599.72,8.24,21331.51,Toute l’année,5.4,Forte,123040.15,Tomate
Ouarzazate,Limoneux,6.33,385.4,24.2,Non,15003.51,5.98,23480.17,Toute l’année,4.3,Forte,98287.99,Tomate
Rabat,Argileux,5.86,306.1,26.3,Non,16736.96,12.94,12134.43,Toute l’année,3.2,Faible,109913.67,Tomate
Agadir,Limoneux,6.06,368.7,27.0,Oui,23154.82,8.99,16802.37,Mai - Juin,5.4,Faible,105737.31,Tomate
Agadir,Limoneux,6.46,314.2,21.3,Non,19303.46,7.66,11498.82,Mai - Juin,5.0,Faible,61656.67,Tomate
Meknès,Limoneux,5.66,312.3,23.3,Oui,16355.61,8.67,17112.63,Septembre - Octobre,3.6,Forte,103856.55,Tomate
Agadir,Argileux,5.67,335.3,27.5,Oui,16167.54,10.93,23599.5,Septembre - Octobre,3.8,Forte,180559.77,Tomate
Fès,Argileux,5.97,336.4,23.3,Non,20790.38,7.79,19815.13,Mai - Juin,5.0,Moyenne,108051.9,Tomate
Meknès,Argileux,6.47,325.3,26.8,Non,24859.51,10.8,17580.65,Mars - Avril,4.7,Faible,132909.71,Tomate
Ouarzazate,Argileux,6.14,438.8,18.9,Oui,19987.26,4.46,18222.09,Mai - Juin,3.2,Moyenne,56889.36,Tomate
